id,name,imageurl,birthday
1302082,David F. Sandberg,https://image.tmdb.org/t/p/w500/10p2i4OW0JWAbnOb7yMLUEGdSqM.jpg,1985-12-23
19271,Anthony Russo,https://image.tmdb.org/t/p/w500/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,1970-02-03
53069,Anna Boden,https://image.tmdb.org/t/p/w500/h5YMXdI42zb0uqn5UJHF4fT9AER.jpg,1976-09-20
65630,Rob Letterman,https://image.tmdb.org/t/p/w500/v2GPTQ41ZqHtML8W1ft3UJej5xA.jpg,
1424064,Kyouhei Yamaguchi,https://image.tmdb.org/t/p/w500/uAFzPnQsnGzkR9KlU260TsGMFI1.jpg,1981-01-02
1297518,Kazuaki Imai,https://image.tmdb.org/t/p/w500None,
57581,Neil Marshall,https://image.tmdb.org/t/p/w500/Au5p9cFlj2XVoVIECQ40ruOp1Qz.jpg,1970-05-25
1495940,Frankie Chen,https://image.tmdb.org/t/p/w500/3jfec79vr7xVdgW8qJgTdheYXyt.jpg,1974-09-21
95972,Hans Petter Moland,https://image.tmdb.org/t/p/w500/xPUm6zfCrmDZb8fkby2zzF6sp8z.jpg,1955-10-17
11614,M. Night Shyamalan,https://image.tmdb.org/t/p/w500/shV9dGXMj7zt7myRFkR6FR51LYu.jpg,1970-08-06
1586194,Jenny Gage,https://image.tmdb.org/t/p/w500/wdvHWFssy6KAliSrY89pvszBlmO.jpg,
84124,Tina Gordon Chism,https://image.tmdb.org/t/p/w500/2Vho1qUJBLUPlgh3c4bnXTPKZUs.jpg,
20739,Adam Shankman,https://image.tmdb.org/t/p/w500/alYdaxIYDvJZFnVrM2n01jcafKo.jpg,1964-11-27
1154561,Kevin K̦lsch,https://image.tmdb.org/t/p/w500/4494wQuVUThEzLBAFkEPhXgpUyS.jpg,
69797,Dean DeBlois,https://image.tmdb.org/t/p/w500/vofzPcdNUzUD1xqaMUwMAJRgFiy.jpg,1970-06-07
1481804,Tomoka Nagaoka,https://image.tmdb.org/t/p/w500None,
1056121,Ryan Coogler,https://image.tmdb.org/t/p/w500/ddGaRFrlDdyR0OBTd1hAMWnfvim.jpg,1986-05-23
12891,Joss Whedon,https://image.tmdb.org/t/p/w500/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg,1964-06-23
7879,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,1957-01-12
39189,Stephen Merchant,https://image.tmdb.org/t/p/w500/A70Gtg3kkTeCBgtFkSRPu9qfPQu.jpg,1974-11-24
510,Tim Burton,https://image.tmdb.org/t/p/w500/yHEHAHQpN9PfSEQx1UxZPczhcAi.jpg,1958-08-25
15218,James Gunn,https://image.tmdb.org/t/p/w500/2w2mprJhSucgA8pbM5BRdBKl3p9.jpg,1966-08-05
1607672,Michael Chaves,https://image.tmdb.org/t/p/w500/SOd71vk0kx5cJygzCifEOMGjRW.jpg,
59918,Rodney Rothman,https://image.tmdb.org/t/p/w500/3GlFmeP4me6uxZGVsmnC0d4A5BV.jpg,
150630,Nicholas McCarthy,https://image.tmdb.org/t/p/w500None,1970-11-10
55934,Taika Waititi,https://image.tmdb.org/t/p/w500/zCLBXGo5BS2e27srDBa5WpRnKul.jpg,1975-08-16
1362815,David Yarovesky,https://image.tmdb.org/t/p/w500/fNaQfVEnSrK6ff2bEaatRsEtMO2.jpg,
231084,Chee Keong Cheung,https://image.tmdb.org/t/p/w500/gxvTUIuvWkoQa9BpapQZiha4R8K.jpg,
69237,Joe Berlinger,https://image.tmdb.org/t/p/w500/nm1QiopjjZLypVQUjJkJ3SkEGnB.jpg,1961-10-30
366,James Mangold,https://image.tmdb.org/t/p/w500/1gt0VmCyBHhQLKhaBDCEIwvRWe.jpg,1963-12-16
1306608,Adam Robitel,https://image.tmdb.org/t/p/w500/ujwEsVKMCN0JD6Mx2PlfSqmbxd1.jpg,1978-05-28
59026,Peyton Reed,https://image.tmdb.org/t/p/w500/aucXNycAtFREMIKr6ikmHvd2Mmp.jpg,1964-07-03
291263,Jordan Peele,https://image.tmdb.org/t/p/w500/9rOEfvKUInuUpJ6MMhiC8Tch1WM.jpg,1979-02-21
54040,John Lee Hancock,https://image.tmdb.org/t/p/w500/1eCqzsuFp0xKGeTEErXyEifN82U.jpg,1956-12-15
1196401,Tomonori Sudou,https://image.tmdb.org/t/p/w500/eTPynNLvv0K8tHbsIWaAaPVhWZR.jpg,
19850,Catherine Hardwicke,https://image.tmdb.org/t/p/w500/x8qMlCXpXlM66hOZ7dSMMWnojNo.jpg,1955-10-21
1100748,Frant Gwo,https://image.tmdb.org/t/p/w500/ifiWmvaHho8kmjyt9ZCBwd9j6c4.jpg,1980-12-15
1033661,Travis Knight,https://image.tmdb.org/t/p/w500/rn207qabc6oJ8JFSH7ekS9hYDXb.jpg,1973-09-13
2127,James Wan,https://image.tmdb.org/t/p/w500/9AlAMoHVDUX8GVOTw6JOyKil8k9.jpg,1977-02-27
66212,Timo Vuorensola,https://image.tmdb.org/t/p/w500/vOvgjfKURnz7HledfDyEY3JfQ9Z.jpg,1979-11-29
2294,Robert Rodriguez,https://image.tmdb.org/t/p/w500/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,1968-06-20
74619,Sean Anders,https://image.tmdb.org/t/p/w500/o3DDfIrbhETjJxuORuTEbm29DIU.jpg,1969-01-01
40644,Chad Stahelski,https://image.tmdb.org/t/p/w500/hr82USXEc8XWvdnH0TpyddMpi7j.jpg,1968-09-20
54248,Christopher Landon,https://image.tmdb.org/t/p/w500/421KrcuMkPQnKbIvdp2yyFE4D0I.jpg,1975-02-27
88857,Dome Karukoski,https://image.tmdb.org/t/p/w500/4lkhkvoVu5pUQE04kQS27Ynncoe.jpg,1976-12-26
15277,Jon Favreau,https://image.tmdb.org/t/p/w500/sJSGJwGa3hjMlJNUCxF7wQwo7fb.jpg,1966-10-19
11181,Kenneth Branagh,https://image.tmdb.org/t/p/w500/bmpGjbqvAVNOK3ggiuET2Jl96tZ.jpg,1960-12-10
19272,Joe Russo,https://image.tmdb.org/t/p/w500/679Os4tbY1YsU01KdLhM1NPXNWu.jpg,1971-07-08
80602,Tyler Perry,https://image.tmdb.org/t/p/w500/fdBvkrv4lSKZ97eDLpmjlK1Tnbx.jpg,1969-09-13
11694,Doug Liman,https://image.tmdb.org/t/p/w500/cWpE3dSbskWOea4kAGzQpNIkfxM.jpg,1965-07-24
1293994,Jon Watts,https://image.tmdb.org/t/p/w500/5CKKBhuScdsHs2KPBBx5pveMOQQ.jpg,1981-06-28
9888,Claire Denis,https://image.tmdb.org/t/p/w500/v3dZPE1f1ICeF3m2GYYFvwuqvfT.jpg,1946-04-21
11343,David Yates,https://image.tmdb.org/t/p/w500/fiIZNbwdK07ntpE2wpLRIMuSXEy.jpg,1963-11-30
190,Clint Eastwood,https://image.tmdb.org/t/p/w500/n8h4ZHteFFXfmzUW6OEaPWanDnm.jpg,1930-05-31
567562,Phil Johnston,https://image.tmdb.org/t/p/w500/jCaUirgugytyigPpexIyUU1laLQ.jpg,
64151,Mike Mitchell,https://image.tmdb.org/t/p/w500/thoCDW89KWWaSYrbvUX0adPcg8S.jpg,1970-10-18
37932,F. Gary Gray,https://image.tmdb.org/t/p/w500/6p11B9eBjvoiAY5Nyoao6Pm7a2J.jpg,1969-07-17
4945,Joe Johnston,https://image.tmdb.org/t/p/w500/fbGZo6CG9Z9zKFh8D5wHunyu7gJ.jpg,1950-05-13
128276,Otto Bathurst,https://image.tmdb.org/t/p/w500/vojDKrTe52mnPrYSKUTOLWotEIN.jpg,
58656,Doug Lefler,https://image.tmdb.org/t/p/w500None,
47005,Alan Taylor,https://image.tmdb.org/t/p/w500/f8hPlHuaRw1py22wp2qqNRfVDMw.jpg,1965-01-01
18899,Yuen Woo-ping,https://image.tmdb.org/t/p/w500/7gr04tWDnsBHHmo18aYLWXZHAvC.jpg,1945-01-01
17633,Rob Marshall,https://image.tmdb.org/t/p/w500/eK6o1eP4aZTnowGYc1NUnEdvCNJ.jpg,1960-10-17
1354171,Henry Hobson,https://image.tmdb.org/t/p/w500None,
9032,Bryan Singer,https://image.tmdb.org/t/p/w500/ts06thbCv9Ug2mNpcbcrmLGRL4Q.jpg,1965-09-17
91268,Ruben Fleischer,https://image.tmdb.org/t/p/w500/y001RIxie7Vk3qMW3oLSFkjO1IA.jpg,1974-10-31
55499,Scott Derrickson,https://image.tmdb.org/t/p/w500/2498q7kKjApqbUMh4WEMxbtSDjn.jpg,1966-07-16
17496,Jacques Audiard,https://image.tmdb.org/t/p/w500/dJ2XCySH5NKZTEEapYK3RaBtL61.jpg,1952-04-30
26714,John R. Leonetti,https://image.tmdb.org/t/p/w500/uksq1bamaA4MfpBPaP4Vv8BvLpu.jpg,1956-07-04
155531,Joe Cornish,https://image.tmdb.org/t/p/w500/yJNJ0haP69aPf3fhiCJXvlESDss.jpg,1968-12-20
108,Peter Jackson,https://image.tmdb.org/t/p/w500/kSrfI3TbMdIMmPVOflLQ56OfscB.jpg,1961-10-31
56322,Amy Poehler,https://image.tmdb.org/t/p/w500/uMGW762oDZbR8jhFJRImJ1ls5cd.jpg,1971-09-16
36602,Peter Berg,https://image.tmdb.org/t/p/w500/1pR16H0zqRG49ns8cYykYpodgGF.jpg,1964-03-11
1709468,Gerard McMurray,https://image.tmdb.org/t/p/w500None,
91493,Chris Addison,https://image.tmdb.org/t/p/w500/cCVVvQIuVyNkUTDg34lgHZ9fuCr.jpg,1971-11-05
5281,Spike Lee,https://image.tmdb.org/t/p/w500/2KOHXgk2uoRXl6u7V9xpAIo3uay.jpg,1957-03-20
7396,Peter Farrelly,https://image.tmdb.org/t/p/w500/8vLjukhhj4dKQSbtZ8qFr2Ybf5T.jpg,1956-12-17
10965,Chris Columbus,https://image.tmdb.org/t/p/w500/2fHN78oumrJRM84UydgfVzj0YEl.jpg,1958-09-10
40684,David Leitch,https://image.tmdb.org/t/p/w500/eVSgvAIsP6mwuVbbhVb4HkVvmsu.jpg,1969-12-31
1419579,Christian Rivers,https://image.tmdb.org/t/p/w500/qm9JrFiMFIkZCTAbM9scJVZIjOk.jpg,1974-01-01
51329,Bradley Cooper,https://image.tmdb.org/t/p/w500/w2iNEYKNuWzGfGzISeh4P6IiR4U.jpg,1975-01-05
4499,Tom Shadyac,https://image.tmdb.org/t/p/w500/8CtwYIVmCSDQ9F1SXFpifKW0N3v.jpg,1958-12-11
47506,Drew Goddard,https://image.tmdb.org/t/p/w500/j5Le3QQljdGJ3kPAcjAZr9V4QUC.jpg,1975-02-26
51894,J.A. Bayona,https://image.tmdb.org/t/p/w500/cnbbnS7K8Uu6yohAfSRHv5Kxc7r.jpg,1975-05-09
67367,Rian Johnson,https://image.tmdb.org/t/p/w500/j7ACBDkCgMqf6sSz2XeCmfqGNd3.jpg,1973-12-17
1,George Lucas,https://image.tmdb.org/t/p/w500/8qxin8urtFE0NqaZNFWOuV537bH.jpg,1944-05-14
222470,Todd Strauss-Schulson,https://image.tmdb.org/t/p/w500/ebACQB0WKup42JE6epPJMdcLT0I.jpg,1980-06-24
140151,William Bindley,https://image.tmdb.org/t/p/w500/7KWLEzEgfag8shGRQsbmmT9zEJl.jpg,
6884,Patty Jenkins,https://image.tmdb.org/t/p/w500/za4JYxjctECHLJJel3lEFPsbeht.jpg,1971-07-24
2034,Danny Boyle,https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg,1956-10-20
1018106,S. Craig Zahler,https://image.tmdb.org/t/p/w500/vomw5TlCtMtKFSsgOtwkit464nd.jpg,1973-01-23
122423,Yorgos Lanthimos,https://image.tmdb.org/t/p/w500/p6ykeQGWagu0wkLUJZX5xVtAkG8.jpg,1973-05-27
78160,Luca Guadagnino,https://image.tmdb.org/t/p/w500/lO2GD4s6fRloZLEhsZgBlhJQasE.jpg,1971-08-10
15358,Vic Armstrong,https://image.tmdb.org/t/p/w500None,1946-10-05
